合約委託時間,UID,合約交易對,倉位類型,槓桿倍數,委託單價,保證金金額,成交单价,匹配Taker委託單號,匹配Taker持倉單號,newAccount,toponeUID
2024-04-15 23:29:30,99132001,ETHUSDT,开多,100,3203.514,157.035,3140.7,10999888864648626176,2999888864799621120,AnalogBot1717724852@mailnesia.com,OOOOOOOU
2024-04-15 23:40:20,99132001,ETHUSDT,平多,100,--,157.458,3149.16,10999891563188322304,2999888864799621120,AnalogBot1717724852@mailnesia.com,OOOOOOOU
2024-04-16 01:16:50,26704528,ETHUSDT,开空,100,3209.94,31.47,3147,10999915872581582848,1999915872808075264,AnalogBot1717724855@mailnesia.com,OOOOOOOT
2024-04-16 01:21:00,26704528,ETHUSDT,平空,100,--,31.179,3117.9,10999916921983860736,1999915872808075264,AnalogBot1717724855@mailnesia.com,OOOOOOOT
2024-04-16 01:25:50,26704528,ETHUSDT,开空,100,3165.162,31.031,3103.1,10999918132434829312,2999918132585824256,AnalogBot1717724855@mailnesia.com,OOOOOOOT
2024-04-16 01:25:50,99132001,ETHUSDT,开空,100,3158.4504,164.11556,3102.16,10999919220596670464,2999918132585824256,AnalogBot1717724852@mailnesia.com,OOOOOOOU
2024-04-16 01:30:10,26704528,ETHUSDT,平空,100,--,31.0216,3118.55,10999920654130085888,1999918137988087808,AnalogBot1717724855@mailnesia.com,OOOOOOOT
2024-04-16 01:35:50,99132001,ETHUSDT,平空,100,--,165.28315,3065.84,10999931224145264640,2999931224434671616,AnalogBot1717724852@mailnesia.com,OOOOOOOU
2024-04-16 02:17:50,99132001,ETHUSDT,开空,100,3127.1772,125.700194,3060.29,10999931250644877312,1999931250984615936,AnalogBot1717724852@mailnesia.com,OOOOOOOU
2024-04-16 02:18:00,26704528,ETHUSDT,开空,100,3121.4958,30.6029,3080.43,10999932159818989568,1999931250984615936,AnalogBot1717724855@mailnesia.com,OOOOOOOT
2024-04-16 02:21:40,26704528,ETHUSDT,平空,100,--,30.8043,3083.5,10999933741977567232,2999931224434671616,AnalogBot1717724855@mailnesia.com,OOOOOOOT
2024-04-16 02:27:50,99132001,ETHUSDT,平空,100,--,126.4235,3052.37,10999941553143152640,1999941553285758976,AnalogBot1717724852@mailnesia.com,OOOOOOOU
2024-04-16 02:59:00,26704528,ETHUSDT,开多,100,3113.4174,30.5237,3040.75,10999942464900956160,1999941553285758976,AnalogBot1717724855@mailnesia.com,OOOOOOOT
2024-04-16 03:02:30,26704528,ETHUSDT,平多,100,--,30.4075,3078.02,10999962925684752384,1999962926007713792,AnalogBot1717724855@mailnesia.com,OOOOOOOT
2024-04-16 04:23:50,26704528,ETHUSDT,开空,100,3139.5804,30.7802,3094.3,10999964342700998656,1999962926007713792,AnalogBot1717724855@mailnesia.com,OOOOOOOT
2024-04-16 04:29:30,26704528,ETHUSDT,平空,100,--,30.943,3091.9,10999972854898360320,1999972855066132480,AnalogBot1717724855@mailnesia.com,OOOOOOOT
2024-04-16 05:03:20,99132001,ETHUSDT,开空,100,3153.738,98.9408,3092.8,10999975372193792025,1999972855066132480,AnalogBot1717724852@mailnesia.com,OOOOOOOU
2024-04-16 05:13:20,99132001,ETHUSDT,平空,100,--,98.9694514,3092.39,10999975393500856320,2999975393643462656,AnalogBot1717724852@mailnesia.com,OOOOOOOU
2024-04-16 05:13:20,99132001,ETHUSDT,开空,100,3154.2378,98.95648,3086.31,10999977910464937984,2999975393643462656,AnalogBot1717724852@mailnesia.com,OOOOOOOU
2024-04-16 05:23:20,99132001,ETHUSDT,平空,100,--,98.76192,3078.31,10999978080929841152,2999978081085030400,AnalogBot1717724852@mailnesia.com,OOOOOOOU
